molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1914665,active,8.397940008672037,CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,344.41800000000006,4.8937000000000035,3.0,4.0
CHEMBL1914655,active,7.2076083105017466,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,409.2870000000001,5.266100000000003,3.0,4.0
CHEMBL1914654,active,8.42021640338319,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,348.3810000000001,4.642700000000002,3.0,4.0
CHEMBL1914660,active,8.045757490560675,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,348.3810000000001,4.642700000000002,3.0,4.0
CHEMBL1914653,active,8.431798275933005,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,330.3910000000001,4.503600000000002,3.0,4.0
CHEMBL1914658,active,8.096910013008056,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,348.3810000000001,4.642700000000002,3.0,4.0
CHEMBL1914656,active,6.346787486224656,Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,344.41800000000006,4.812020000000003,3.0,4.0
CHEMBL1914661,active,7.022276394711152,Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,344.41800000000006,4.812020000000004,3.0,4.0
CHEMBL1914659,active,7.769551078621726,Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,344.41800000000006,4.812020000000003,3.0,4.0
CHEMBL1914662,active,7.585026652029182,Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,334.354,4.081700000000002,3.0,4.0
CHEMBL1914664,active,7.2839966563652006,Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,334.354,4.081700000000002,3.0,4.0
CHEMBL1914461,active,8.481486060122112,Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,316.36400000000003,3.9426000000000023,3.0,4.0
CHEMBL1914663,active,7.346787486224656,Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,334.354,4.081700000000002,3.0,4.0
CHEMBL3416599,active,6.617982957425132,Brc1cc2c(NCc3ccccc3)ncnc2s1,320.21500000000003,4.065900000000001,1.0,4.0
CHEMBL3416615,inactive,5.0,Brc1cc2c(NCc3cccnc3)ncnc2s1,321.20300000000003,3.4609000000000005,1.0,5.0
CHEMBL3416440,inactive,5.0,Brc1cc2c(Nc3cccc(OCc4ccccc4)c3)ncnc2s1,412.31200000000007,5.776400000000003,1.0,5.0
CHEMBL3416621,active,7.096910013008056,Brc1cc2c(Nc3ccccc3)ncnc2s1,306.18800000000005,4.197400000000002,1.0,4.0
CHEMBL2325098,active,6.1487416512809245,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,427.34500000000014,6.9580000000000055,0.0,2.0
CHEMBL2325091,active,6.309803919971486,Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,427.34500000000014,6.9580000000000055,0.0,2.0
CHEMBL381306,inactive,4.522878745280337,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,383.249,4.569000000000003,2.0,5.0
CHEMBL382862,inactive,5.0,Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,369.22200000000004,4.700500000000003,2.0,5.0
CHEMBL554983,active,7.0835460514500745,Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1,339.1960000000001,4.568800000000002,2.0,3.0
CHEMBL423224,active,7.508638306165727,Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,339.1960000000001,4.568800000000001,2.0,3.0
CHEMBL331417,inactive,4.0,Brc1cccc(Nc2cnc3ccccc3n2)c1,300.15900000000005,4.135900000000002,1.0,3.0
CHEMBL118482,inactive,5.0,Brc1cccc(Nc2cnnc3ccccc23)c1,300.15900000000005,4.135900000000002,1.0,3.0
CHEMBL39563,inactive,4.0,Brc1cccc(Nc2nccc3ccccc23)c1,299.17100000000005,4.740900000000003,1.0,2.0
CHEMBL1094423,inactive,3.6989700043360187,Brc1cccc(Nc2ncnc3[nH]c(CCc4ccccc4)cc23)c1,393.2880000000002,5.249200000000003,2.0,3.0
CHEMBL72393,active,6.651695136951839,Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,343.22800000000024,4.342800000000002,2.0,3.0
CHEMBL5181237,active,8.424812155072338,Brc1cccc(Nc2ncnc3[nH]ccc23)c1,289.136,3.4640000000000004,2.0,3.0
CHEMBL383614,active,6.0,Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,448.11800000000017,5.463000000000002,2.0,5.0
CHEMBL5198809,active,7.142667503568731,Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,339.1960000000001,4.617200000000002,2.0,3.0
CHEMBL155100,active,6.565431095965801,Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,340.184,4.012200000000002,2.0,4.0
